"Time, t (s)","Force, F (uN)"
21.779,5902.365
21.809,5886.544
21.838,5886.544
21.867,5899.201
21.897,5899.201
21.926,5883.38
21.956,5899.201
21.985,5886.544
22.015,5896.037
22.047,5899.201
22.078,5889.708
22.107,5889.708
22.136,5880.216
22.165,5892.872
22.194,5896.037
22.224,5896.037
22.255,5896.037
22.284,5877.051
22.314,5880.216
22.343,5892.872
22.373,5880.216
22.402,5886.544
22.431,5892.872
22.461,5880.216
22.49,5883.38
22.52,5886.544
22.549,5867.559
22.579,5877.051
22.609,5889.708
22.638,5877.051
22.668,5870.723
22.697,5880.216
22.727,5873.887
22.756,5883.38
22.786,5896.037
22.815,5880.216
22.845,5880.216
22.874,5880.216
22.904,5880.216
22.933,5880.216
22.963,5886.544
22.992,5854.902
23.022,5896.037
23.051,5889.708
23.081,5870.723
23.111,5877.051
23.14,5867.559
23.17,5873.887
23.199,5864.394
23.23,5883.38
23.26,5861.23
23.289,5877.051
23.319,5877.051
23.349,5864.394
23.379,5877.051
23.408,5867.559
23.438,5877.051
23.468,5858.066
23.498,5867.559
23.528,5870.723
23.558,5864.394
23.588,5870.723
23.618,5883.38
23.647,5870.723
23.677,5867.559
23.708,5858.066
23.737,5861.23
23.767,5867.559
23.798,5880.216
23.828,5886.544
23.858,5867.559
23.888,5867.559
23.919,5851.737
23.949,5848.573
23.979,5873.887
24.009,5867.559
24.042,5867.559
24.073,5854.902
24.102,5848.573
24.132,5858.066
24.162,5870.723
24.192,5864.394
24.222,5867.559
24.253,5870.723
24.283,5851.737
24.312,5858.066
24.343,5845.409
24.373,5858.066
24.403,5867.559
24.433,5864.394
24.464,5864.394
24.494,5851.737
24.524,5851.737
24.554,5858.066
24.584,5851.737
24.615,5845.409
24.644,5864.394
24.675,5861.23
24.704,5858.066
24.734,5842.245
24.764,5842.245
24.794,5842.245
24.824,5848.573
24.854,5858.066
24.884,5851.737
24.914,5842.245
24.944,5835.916
24.974,5839.081
25.003,5845.409
25.033,5845.409
25.063,5842.245
25.093,5829.588
25.123,5835.916
25.153,5848.573
25.183,5845.409
25.213,5864.394
25.243,5842.245
25.273,5835.916
25.303,5835.916
25.333,5845.409
25.363,5845.409
25.393,5858.066
25.424,5854.902
25.454,5858.066
25.485,5858.066
25.515,5829.588
25.545,5848.573
25.576,5829.588
25.606,5839.081
25.636,5835.916
25.666,5835.916
25.696,5829.588
25.726,5829.588
25.757,5835.916
25.787,5848.573
25.817,5842.245
25.847,5835.916
25.878,5839.081
25.908,5826.424
25.938,5826.424
25.968,5832.752
25.999,5832.752
26.029,5839.081
26.063,5823.259
26.094,5832.752
26.124,5835.916
26.154,5848.573
26.185,5848.573
26.215,5823.259
26.246,5826.424
26.276,5826.424
26.306,5829.588
26.336,5835.916
26.367,5823.259
26.397,5826.424
26.427,5813.767
26.457,5807.438
26.488,5832.752
26.518,5835.916
26.548,5835.916
26.579,5835.916
26.609,5813.767
26.639,5816.931
26.669,5823.259
26.699,5835.916
26.729,5826.424
26.759,5807.438
26.79,5816.931
26.82,5829.588
26.85,5823.259
26.881,5842.245
26.911,5835.916
26.941,5813.767
26.972,5813.767
27.002,5813.767
27.032,5816.931
27.062,5820.095
