freq,time,overtone,range_used,data_source
-5.1656020113267004E+01,1.1600672513000000E+03,fundamental_freq,x,qcmi_sample
-5.1548689182847738E+01,1.1651081555999999E+03,fundamental_freq,x,qcmi_sample
-5.1600223142653697E+01,1.1701529158000001E+03,fundamental_freq,x,qcmi_sample
-5.1693425143137567E+01,1.1751874644000000E+03,fundamental_freq,x,qcmi_sample
-5.1711621413007379E+01,1.1802371172999999E+03,fundamental_freq,x,qcmi_sample
-5.1722514892928302E+01,1.1852820466000001E+03,fundamental_freq,x,qcmi_sample
-5.1597196673043072E+01,1.1903309747000001E+03,fundamental_freq,x,qcmi_sample
-5.1636226133443415E+01,1.1953788305000000E+03,fundamental_freq,x,qcmi_sample
-5.1754749743267887E+01,1.2004108013000000E+03,fundamental_freq,x,qcmi_sample
-5.1672868433408439E+01,1.2054659916000001E+03,fundamental_freq,x,qcmi_sample
-5.1694131232798100E+01,1.2105223599000001E+03,fundamental_freq,x,qcmi_sample
-5.1742509802803397E+01,1.2155654520000001E+03,fundamental_freq,x,qcmi_sample
-5.1661836923100047E+01,1.2206096837000000E+03,fundamental_freq,x,qcmi_sample
-5.1545886533334851E+01,1.2256426515999999E+03,fundamental_freq,x,qcmi_sample
-5.1602980722673237E+01,1.2306989676000001E+03,fundamental_freq,x,qcmi_sample
-5.1655564403161407E+01,1.2357581491000001E+03,fundamental_freq,x,qcmi_sample
-5.1817953633144498E+01,1.2407956313000000E+03,fundamental_freq,x,qcmi_sample
-5.1741929173469536E+01,1.2458377456999999E+03,fundamental_freq,x,qcmi_sample
-5.1750164372846477E+01,1.2508789976000000E+03,fundamental_freq,x,qcmi_sample
-5.1640947243198752E+01,1.2559189962000000E+03,fundamental_freq,x,qcmi_sample
-5.1602275012992322E+01,1.2609692022000002E+03,fundamental_freq,x,qcmi_sample
-5.1710250263102353E+01,1.2660091973000001E+03,fundamental_freq,x,qcmi_sample
-5.1737103093415499E+01,1.2710434157000000E+03,fundamental_freq,x,qcmi_sample
-5.1628074702806771E+01,1.2760778877000000E+03,fundamental_freq,x,qcmi_sample
-5.1773293402977288E+01,1.2811079141000000E+03,fundamental_freq,x,qcmi_sample
-5.1618137182667851E+01,1.2861503186000000E+03,fundamental_freq,x,qcmi_sample
-5.1652305763214827E+01,1.2912039536000000E+03,fundamental_freq,x,qcmi_sample
-5.1615460593253374E+01,1.2962572244000000E+03,fundamental_freq,x,qcmi_sample
-5.1648858453147113E+01,1.3012873406000001E+03,fundamental_freq,x,qcmi_sample
-5.1786824863404043E+01,1.3063219626000000E+03,fundamental_freq,x,qcmi_sample
-5.1610521532595158E+01,1.3113644360999999E+03,fundamental_freq,x,qcmi_sample
-5.1739645683206618E+01,1.3163984981999999E+03,fundamental_freq,x,qcmi_sample
-5.1634870853275054E+01,1.3214384895999999E+03,fundamental_freq,x,qcmi_sample
-5.1828369542956352E+01,1.3264791419999999E+03,fundamental_freq,x,qcmi_sample
-5.1750230482779443E+01,1.3315354671000000E+03,fundamental_freq,x,qcmi_sample
-5.1658976683393121E+01,1.3365918979999999E+03,fundamental_freq,x,qcmi_sample
-5.1709421332925558E+01,1.3416457267000001E+03,fundamental_freq,x,qcmi_sample
-5.1617597063072026E+01,1.3466813277000001E+03,fundamental_freq,x,qcmi_sample
-5.1764097833074629E+01,1.3517140847000001E+03,fundamental_freq,x,qcmi_sample
-5.1807079902850091E+01,1.3567606055000001E+03,fundamental_freq,x,qcmi_sample
-5.1881420132704079E+01,1.3618032747000000E+03,fundamental_freq,x,qcmi_sample
-5.1659377292729921E+01,1.3668474151999999E+03,fundamental_freq,x,qcmi_sample
-5.1598828373476863E+01,1.3719008954000001E+03,fundamental_freq,x,qcmi_sample
-5.1717253752984107E+01,1.3769552314000000E+03,fundamental_freq,x,qcmi_sample
-5.1682665812782943E+01,1.3820020755000000E+03,fundamental_freq,x,qcmi_sample
-5.1626833933405578E+01,1.3870455594000000E+03,fundamental_freq,x,qcmi_sample
-5.1945275222882636E+01,1.3921005471000001E+03,fundamental_freq,x,qcmi_sample
-5.1686062983237207E+01,1.3971442170000000E+03,fundamental_freq,x,qcmi_sample
-5.1891711883246899E+01,1.4021802332000000E+03,fundamental_freq,x,qcmi_sample
-5.1830745832994573E+01,1.4072256781999999E+03,fundamental_freq,x,qcmi_sample
-5.1815603583119810E+01,1.4122595128999999E+03,fundamental_freq,x,qcmi_sample
-5.1546116032637656E+01,1.4172900129000000E+03,fundamental_freq,x,qcmi_sample
-5.1885552642866969E+01,1.4223239481999999E+03,fundamental_freq,x,qcmi_sample
-5.1616820712573833E+01,1.4273682601999999E+03,fundamental_freq,x,qcmi_sample
-5.1602532963268459E+01,1.4324196381000002E+03,fundamental_freq,x,qcmi_sample
-5.1772559292614467E+01,1.4374675893000001E+03,fundamental_freq,x,qcmi_sample
-5.1680972242727883E+01,1.4425159349999999E+03,fundamental_freq,x,qcmi_sample
-5.1845472753047936E+01,1.4475702965000000E+03,fundamental_freq,x,qcmi_sample
-5.1705054623074830E+01,1.4526282911999999E+03,fundamental_freq,x,qcmi_sample
-5.1743701012805104E+01,1.4576720458000000E+03,fundamental_freq,x,qcmi_sample
-5.1722108483314514E+01,1.4627120367000000E+03,fundamental_freq,x,qcmi_sample
-5.1671648053452365E+01,1.4677589125000000E+03,fundamental_freq,x,qcmi_sample
-5.1779365022666752E+01,1.4728042293000001E+03,fundamental_freq,x,qcmi_sample
-5.1657218312844641E+01,1.4778459853000002E+03,fundamental_freq,x,qcmi_sample
-5.1749795813113451E+01,1.4829001893000000E+03,fundamental_freq,x,qcmi_sample
-5.1852681673131883E+01,1.4879434083000001E+03,fundamental_freq,x,qcmi_sample
-5.1693244333378971E+01,1.4929879146000001E+03,fundamental_freq,x,qcmi_sample
-5.1907554993405938E+01,1.4980382124000000E+03,fundamental_freq,x,qcmi_sample
-5.1859682393260307E+01,1.5030913390000001E+03,fundamental_freq,x,qcmi_sample
-5.1788610313087695E+01,1.5081480833000001E+03,fundamental_freq,x,qcmi_sample
-5.1686578502878554E+01,1.5131928429000000E+03,fundamental_freq,x,qcmi_sample
-5.1781863332726061E+01,1.5182278372999999E+03,fundamental_freq,x,qcmi_sample
-5.1823748532682657E+01,1.5232607125000000E+03,fundamental_freq,x,qcmi_sample
-5.1698936463333673E+01,1.5283049311000000E+03,fundamental_freq,x,qcmi_sample
-5.1816500512883067E+01,1.5333548552000000E+03,fundamental_freq,x,qcmi_sample
-5.1866877443157136E+01,1.5383884532000000E+03,fundamental_freq,x,qcmi_sample
-5.1776425062678754E+01,1.5434275962000002E+03,fundamental_freq,x,qcmi_sample
-5.1853168282657855E+01,1.5484577135000000E+03,fundamental_freq,x,qcmi_sample
-5.1816430062986910E+01,1.5535045551999999E+03,fundamental_freq,x,qcmi_sample
-5.1671473532915122E+01,1.5585426602000000E+03,fundamental_freq,x,qcmi_sample
-5.1791439522989087E+01,1.5635866258000001E+03,fundamental_freq,x,qcmi_sample
-5.1672212922945619E+01,1.5686208696000001E+03,fundamental_freq,x,qcmi_sample
-5.1816712472587824E+01,1.5736805592000001E+03,fundamental_freq,x,qcmi_sample
-5.1938184432685375E+01,1.5787245746999999E+03,fundamental_freq,x,qcmi_sample
-5.1705169533379376E+01,1.5837566339000000E+03,fundamental_freq,x,qcmi_sample
-5.1811090713366873E+01,1.5888066481000001E+03,fundamental_freq,x,qcmi_sample
-5.1721016682684414E+01,1.5938550204000001E+03,fundamental_freq,x,qcmi_sample
-5.1749090173281729E+01,1.5988950295000000E+03,fundamental_freq,x,qcmi_sample
-5.1662178393453360E+01,1.6039435774000001E+03,fundamental_freq,x,qcmi_sample
-5.1695328832603991E+01,1.6089927219000001E+03,fundamental_freq,x,qcmi_sample
-5.1672799343243241E+01,1.6140230729000000E+03,fundamental_freq,x,qcmi_sample
