overtone,Dm_mean,Dm_std_dev,Dm_median,range_used,data_source
1,9.1554237657609485E+02,1.8732270149513399E+00,9.1542121010133997E+02,y,qcmi_sample
3,7.8052104181417212E+02,2.9663452632059086E+00,7.8072339458419003E+02,y,qcmi_sample
5,7.2733462427180507E+02,2.9738606598866739E+00,7.2781102465834465E+02,y,qcmi_sample
7,7.0201602316408582E+02,4.2287651569649434E+00,7.0221156587483620E+02,y,qcmi_sample
9,6.9258159779047787E+02,5.9027758768070884E+00,6.9287615803914764E+02,y,qcmi_sample
11,6.6898388248303672E+02,5.6078356497690827E+00,6.6872902846553097E+02,y,qcmi_sample
