freq,time,overtone,range_used,data_source
-52.135267780162394,912.9329934000001,fundamental_freq,x,qcmi_sample
-51.99799149017781,917.9829005,fundamental_freq,x,qcmi_sample
-52.212896060198545,923.0256154000001,fundamental_freq,x,qcmi_sample
-51.973157189786434,928.0577948,fundamental_freq,x,qcmi_sample
-52.06994332000613,933.0899356000001,fundamental_freq,x,qcmi_sample
-51.917731549590826,938.1235861,fundamental_freq,x,qcmi_sample
-51.96709686983377,943.1716848000001,fundamental_freq,x,qcmi_sample
-51.840784720145166,948.2162756,fundamental_freq,x,qcmi_sample
-51.87768267001957,953.2622939,fundamental_freq,x,qcmi_sample
-51.74542985018343,958.2971105,fundamental_freq,x,qcmi_sample
-51.847759819589555,963.3456369,fundamental_freq,x,qcmi_sample
-51.82363313995302,968.4045591,fundamental_freq,x,qcmi_sample
-51.81260151043534,973.4527799000001,fundamental_freq,x,qcmi_sample
-51.7319296002388,978.4929701000001,fundamental_freq,x,qcmi_sample
-51.58771404996514,983.5312580000001,fundamental_freq,x,qcmi_sample
-51.80175272002816,988.5798036000001,fundamental_freq,x,qcmi_sample
-51.75205644965172,993.6148651000001,fundamental_freq,x,qcmi_sample
-51.93327515013516,998.6498575,fundamental_freq,x,qcmi_sample
-51.8216800801456,1003.6898082,fundamental_freq,x,qcmi_sample
-51.863960339687765,1008.7298221000001,fundamental_freq,x,qcmi_sample
-51.7489670496434,1013.7782087,fundamental_freq,x,qcmi_sample
-51.65887894015759,1018.8282373000001,fundamental_freq,x,qcmi_sample
-51.7274436801672,1023.8680025000001,fundamental_freq,x,qcmi_sample
-51.73045395966619,1028.9062442,fundamental_freq,x,qcmi_sample
-51.59295242000371,1033.9479105,fundamental_freq,x,qcmi_sample
-51.767961950041354,1038.9921276,fundamental_freq,x,qcmi_sample
-51.67339638993144,1044.0225437000001,fundamental_freq,x,qcmi_sample
-51.554383230395615,1049.0720219,fundamental_freq,x,qcmi_sample
-51.58976177033037,1054.1166014,fundamental_freq,x,qcmi_sample
-51.47569637000561,1059.1626244000001,fundamental_freq,x,qcmi_sample
-51.57641573995352,1064.2134938000002,fundamental_freq,x,qcmi_sample
-51.697601770050824,1069.2497534000001,fundamental_freq,x,qcmi_sample
-51.62080916017294,1074.2839387000001,fundamental_freq,x,qcmi_sample
-51.63749471027404,1079.3332400000002,fundamental_freq,x,qcmi_sample
-51.60774810984731,1084.3817224,fundamental_freq,x,qcmi_sample
-51.707475969567895,1089.4214442,fundamental_freq,x,qcmi_sample
-51.66459861025214,1094.4644601,fundamental_freq,x,qcmi_sample
-51.72926233988255,1099.5152323,fundamental_freq,x,qcmi_sample
-51.583841290324926,1104.5582758,fundamental_freq,x,qcmi_sample
-51.67945952992886,1109.618218,fundamental_freq,x,qcmi_sample
-51.67692301981151,1114.6742215000002,fundamental_freq,x,qcmi_sample
-51.61996284965426,1119.7295331,fundamental_freq,x,qcmi_sample
-51.65195817966014,1124.7695397,fundamental_freq,x,qcmi_sample
-51.54008702002466,1129.8167918000001,fundamental_freq,x,qcmi_sample
-51.71939864009619,1134.8584975,fundamental_freq,x,qcmi_sample
-51.4928916497156,1139.8926442,fundamental_freq,x,qcmi_sample
-51.768932700157166,1144.9459661,fundamental_freq,x,qcmi_sample
-51.65187945961952,1149.9774156,fundamental_freq,x,qcmi_sample
-51.61598811019212,1155.0287379000001,fundamental_freq,x,qcmi_sample
-51.63251306023449,1160.0672513,fundamental_freq,x,qcmi_sample
-51.52518212981522,1165.1081556000001,fundamental_freq,x,qcmi_sample
-51.576716089621186,1170.1529158,fundamental_freq,x,qcmi_sample
