,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,file_name,data_category,Tau,T_rsq,E,E_rsq
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,PAA_40kpa_S02_L02_C02.xlsx,stiff,69.22086476757016,0.9739650871482382,9025.2310566812,0.6955750300918326
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,PAA_40kpa_S02_L02_C03.xlsx,stiff,67.45346030481149,0.9733538601904274,8887.584609669098,0.6889394405433246
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,PAA_40kPa_S02_L03.Cycle0002.xlsx,stiff,44.88313051251924,0.9437066193274432,9054.797116055834,0.637413405904921
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,PAA_40kPa_S02_L03.Cycle0003.xlsx,stiff,47.3596752799203,0.9473831428902104,9943.943824018172,0.6663429394152948
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,PAA_40kpa_S02_L03_C01..xlsx,stiff,61.92739915000327,0.4342573693739922,3872.904501230026,0.7672097536692017
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,PAA_40kpa_S02_L03_C02..xlsx,stiff,36.057852055950434,0.370304075427894,3662.509371674467,0.7433330391101095
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,PAA_40kpa_S02_L03_C03..xlsx,stiff,30.418513636594668,0.3554784039525733,3699.568647624887,0.7431685425943562
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,PAA_40kpa_S03_L01_C01.xlsx,stiff,56.5579812343522,0.8618904130103408,4967.564156092491,0.7342143602610313
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,PAA_40kpa_S03_L01_C02.xlsx,stiff,81.24259453819437,0.8262114256150574,4403.552949435328,0.6905158872040249
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,PAA_40kpa_S03_L01_C03.xlsx,stiff,64.04180076283708,0.8075269357786363,4160.76072734467,0.6622796317880782
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,PAA_40kpa_S03_L02_C01.xlsx,stiff,73.39338018517608,0.3858533952254631,2211.152434566557,0.7781219202671344
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,PAA_40kpa_S03_L02_C02.xlsx,stiff,82.25192875219449,0.4214602785268713,2186.5720759878504,0.7733294869007699
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,PAA_40kpa_S03_L02_C03.xlsx,stiff,67.49351279096804,0.3894342232928729,2405.230966001399,0.8028812049314656
