Distance_(pixels),Gray_Value
0,159
1,159.333
2,161
3,161.667
4,160.333
5,160
6,161
7,163.333
8,161
9,161.667
10,162
11,161
12,162.333
13,164
14,161.333
15,161.333
16,162.333
17,162
18,162.333
19,160.333
20,162
21,159
22,160
23,161
24,160.667
25,161.667
26,161
27,162
28,162
29,161
30,161.333
31,160.333
32,162
33,162
34,162
35,163
36,161
37,161
38,161.333
39,160.667
40,162
41,161
42,158.333
43,160
44,163
45,164.333
46,162.667
47,163.333
48,163.333
49,162
50,161
51,161.667
52,162.333
53,163.333
54,162.333
55,162.333
56,164
57,165.333
58,163.667
59,161.667
60,161.667
61,161.667
62,161
63,160.667
64,162
65,161
66,160.667
67,163.667
68,164
69,162
70,160
71,162
72,164
73,162
74,161
75,161.333
76,161.333
77,163.667
78,162.333
79,159.333
80,161
81,163
82,163.667
83,164
84,164.333
85,162.333
86,162
87,166.333
88,162.333
89,162
90,162.333
91,162
92,163
93,163
94,162.333
95,162.333
96,163
97,161
98,162
99,164
100,161.667
101,161.667
102,162.667
103,164.667
104,164.333
105,162.333
106,161.667
107,161.667
108,162.333
109,163.333
110,161
111,163
112,161.333
113,161.333
114,163.333
115,163
116,162.667
117,162.667
118,161.667
119,161.667
120,162
121,162.333
122,161
123,162.667
124,162.667
125,164
126,164.667
127,160.667
128,161.333
129,162.333
130,164
131,164.333
132,164.333
133,164.333
134,162.333
135,164
136,163.333
137,162.667
138,161.667
139,162.667
140,163
141,162.333
142,165
143,165.333
144,165
145,165
146,163
147,166
148,163
149,162.333
150,162.667
151,161.667
152,164
153,162
154,160
155,161
156,163
157,164
158,163.333
159,163.667
160,165.333
161,165.333
162,163.667
163,164.667
164,165.667
165,164.667
166,163
167,163.333
168,162.333
169,165
170,167
171,170
172,164
173,162.667
174,163.333
175,163
176,163
177,164.667
178,163.333
179,161.667
180,162
181,163
182,164
183,166
184,164
185,163
186,164.333
187,163
188,164
189,164
190,162.333
191,162
192,163.667
193,161.667
194,161
195,162.667
196,163
197,162.333
198,164.333
199,164.333
200,163
201,163
202,161
203,164
204,164.333
205,164
206,161
207,161
208,163
209,163
210,165.667
211,165.667
212,164
213,164
214,165.333
215,164.333
216,163
217,164
218,164
219,163.333
220,163.333
221,163.333
222,162
223,164
224,164.667
225,164.667
226,162.667
227,162.667
228,165.667
229,166.333
230,163
231,162.333
232,163.667
233,166.333
234,164.667
235,165.333
236,163.333
237,163.333
238,164
239,163
240,162.667
241,163.667
242,166.667
243,166.667
244,165
245,164
246,163.333
247,164.333
248,166.333
249,165.333
250,165
251,164.333
252,164.333
253,165
254,163.333
255,164.333
256,166
257,163
258,161.333
