Distance_(pixels),Gray_Value
518,130.6667
519,131.6667
520,129
521,127.3333
522,127.6667
523,128.3333
524,130.6667
525,132.3333
526,129.3333
527,134.3333
528,131
529,126.3333
530,126.3333
531,127.6667
532,130
533,131
534,132
535,132.3333
536,131.3333
537,129.3333
538,131
539,132
540,130.3333
541,131.6667
542,133.3333
543,131.6667
544,129.6667
545,128.6667
546,131.3333
547,133.3333
548,131.6667
549,128.6667
550,129
551,130
552,128.6667
553,125.6667
554,127
555,127.3333
556,126.6667
557,130.6667
558,127
559,129.3333
560,130.3333
561,133.3333
562,134.6667
563,128.6667
564,125
565,129
566,133
567,130.6667
568,131.3333
569,131.3333
570,128.3333
571,131.3333
572,132.6667
573,131.6667
574,129
575,132.3333
576,131
577,130.3333
578,130.3333
579,132.3333
580,129
581,130
582,128
583,129
584,131.6667
585,131.6667
586,130.3333
587,130.6667
588,129.3333
589,130.3333
590,130.6667
591,130.6667
592,131.3333
593,133.6667
594,133.3333
595,129.3333
596,130.6667
597,130.3333
598,132
599,129.3333
600,128
601,134.6667
602,133.3333
603,132.3333
604,130.3333
605,130.3333
606,129.6667
607,129.6667
608,129.6667
609,130.6667
610,130.3333
611,126.3333
612,129.6667
613,133.6667
614,131
615,129
616,130.6667
617,129.6667
618,128
619,131
620,130
621,130.3333
622,130.3333
623,133.3333
624,131.3333
625,131.3333
626,130.6667
627,131.6667
628,129.6667
629,129.6667
630,130.3333
631,130.3333
632,128.6667
633,128.6667
634,127
635,132.3333
636,130.6667
637,129.3333
638,130.6667
639,130.6667
640,131.3333
641,130.3333
642,130.3333
643,133.3333
644,128.6667
645,131.6667
646,128.3333
647,128.6667
648,130.6667
649,131.3333
650,130.6667
651,121.6667
652,124.6667
653,128.6667
654,131.6667
655,132.3333
656,132.3333
657,132
658,130.6667
659,128.6667
660,128.3333
661,129.3333
662,129.6667
663,132.6667
664,131.3333
665,130.6667
666,131
667,130
668,129.3333
669,133.6667
670,131.3333
671,131.3333
672,131.3333
673,127.3333
674,127.6667
675,127.6667
676,127.6667
677,129.3333
678,129.3333
