Distance_(pixels),Gray_Value
0,131.6667
1,132
2,131.6667
3,131.3333
4,134.3333
5,133.3333
6,132.3333
7,131.3333
8,133.3333
9,131
10,133
11,132
12,133.3333
13,137.3333
14,135
15,128
16,131.3333
17,134.3333
18,132
19,132
20,129.3333
21,133.3333
22,134
23,132.3333
24,134.6667
25,134.3333
26,131.3333
27,131.3333
28,134.3333
29,134
30,130.6667
31,131.3333
32,132
33,133.3333
34,131.3333
35,133.6667
36,132.3333
37,133.3333
38,132
39,128.6667
40,134
41,136
42,134.3333
43,132.6667
44,132.6667
45,133.3333
46,132
47,133
48,132.3333
49,131.3333
50,131
51,132.3333
52,133.3333
53,131.3333
54,130.3333
55,131.3333
56,133
57,133.3333
58,134.3333
59,133
60,133.3333
61,133.3333
62,133
63,132.3333
64,132
65,135
66,132
67,130
68,130.6667
69,131
70,132.3333
71,133.3333
72,131.3333
73,133.3333
74,131.6667
75,132.3333
76,133.3333
77,133.3333
78,133.3333
79,133.6667
80,133.3333
81,131.6667
82,132.3333
83,132
84,132.6667
85,129.6667
86,130.6667
87,131.3333
88,132
89,131.3333
90,131
91,134.3333
92,134
93,132.3333
94,133.3333
95,135
96,131
97,130
98,130
99,130.6667
100,132
101,130.3333
102,129.3333
103,126.3333
104,131.3333
105,131.3333
106,131.3333
107,132
108,133
109,134
110,133.3333
111,134.3333
112,133.3333
113,132.3333
114,133
115,131.3333
116,133.3333
117,134.3333
118,133
119,134
120,132.3333
121,132.3333
122,132
123,131.3333
124,130.3333
125,132.6667
126,130.6667
127,133.6667
128,135.3333
129,133
130,130.3333
131,130.3333
132,132
133,132.3333
134,130
135,135
136,134
137,132
138,132
139,138.3333
140,135
141,133
142,130.3333
143,131
144,132.3333
145,132
146,129.3333
147,132.3333
148,132.6667
149,132.3333
150,132
151,131
152,132
153,134
154,133
155,136.3333
156,135
157,132.3333
158,132.3333
159,131.3333
160,131
161,132.3333
162,134.3333
163,132.3333
164,132.3333
165,131.6667
166,131
167,131.6667
168,130
169,131
170,133.3333
171,135.3333
172,134.3333
173,134.3333
174,133
175,133.3333
176,134
177,130.3333
178,134
179,134.3333
180,135
181,133.3333
182,132
183,128.6667
184,133
185,134.3333
186,131.3333
187,132.3333
188,132.3333
189,134.3333
190,133.3333
191,135.3333
192,134
193,131.6667
194,133.3333
195,133
196,133.6667
197,134.6667
198,135.3333
199,133.3333
200,131
201,132.6667
202,131.6667
203,135.3333
204,135.6667
205,132.6667
206,132.6667
207,134
208,133.6667
209,133.3333
210,134.3333
211,130
212,131
213,132
214,131.3333
215,128.6667
216,129.6667
217,132.6667
218,131
219,129.3333
220,131
221,130.6667
222,130
223,132.3333
224,134.3333
225,135.3333
226,135
227,133.6667
228,133
229,131.3333
230,133.3333
231,134.3333
232,133.3333
233,130.6667
234,130
235,132
236,132.3333
237,132
238,133.3333
239,133
240,133.3333
241,132.6667
242,131.3333
243,133.6667
244,133
245,133.3333
246,132.3333
247,132
248,133
249,132.3333
250,132.3333
251,133.3333
252,133
253,133.3333
254,137
255,131.6667
256,131
257,131
258,134.3333
259,133.3333
260,134.6667
261,131
262,130.6667
263,132.6667
264,131.3333
265,132.3333
266,134
267,133
268,133.3333
269,132.3333
270,133.6667
271,132.6667
272,129.6667
273,132
274,136.3333
275,135.6667
276,134.6667
277,129
278,132.3333
279,134.6667
280,133.3333
281,133.3333
282,131.6667
283,131.3333
284,133.3333
285,132.6667
286,130.6667
287,133.6667
288,136
289,132.3333
290,131.6667
291,132.6667
292,133.3333
293,132
294,132.3333
295,133.3333
296,131
297,134.3333
298,135
299,132.3333
300,132
301,131.3333
302,132.3333
303,129
304,129
305,130.6667
306,132.3333
307,136
308,133
309,131
310,129.3333
311,130
312,130
313,131.3333
314,133.3333
315,134.3333
316,130.3333
317,130
318,132.3333
319,131.3333
320,133.3333
321,133
322,132.3333
323,131.3333
324,131.3333
325,131.3333
