Time,Relative_time,fundamental_freq,fundamental_dis,3rd_freq,3rd_dis,5th_freq,5th_dis,7th_freq,7th_dis,9th_freq,9th_dis
8:29:48,138.047,-83.50229214783758,5.705432563510413e-05,-127.5561258662492,0.0001804738008083142,-252.09306582063437,2.5874485565820574e-05,-352.22454965114594,0.00010677378637413346,-413.3185161650181,0.00023137660739030053
8:29:48,138.048,-83.50229214783758,5.705432563510413e-05,-127.5561258662492,0.0001804738008083142,-252.09306582063437,2.5874485565820574e-05,-352.22454965114594,0.00010677378637413346,-413.3185161650181,0.00023137660739030053
8:29:49,139.046,-82.3922921475023,5.655132563510412e-05,-127.03612586669624,0.00017971380080831437,-249.59306582063437,2.848148556582053e-05,-349.9945496544242,0.00010438078637413362,-409.33851616829634,0.00022640260739030006
8:29:51,140.295,-81.33229214791209,5.633132563510413e-05,-125.38612586632371,0.0001782078008083143,-246.3230658173561,3.1528485565820476e-05,-347.4045496508479,0.00010047378637413357,-408.11851616948843,0.0002165626073903004
8:29:52,141.547,-80.52229214739054,5.584932563510413e-05,-123.59612586721778,0.00017759380080831482,-243.09306582063437,3.486148556581994e-05,-344.3045496493578,9.819378637413324e-05,-408.9485161677003,0.00021504260739029987
8:29:53,142.801,-79.40229214727879,5.549432563510407e-05,-122.85612586699426,0.00017593380080831427,-239.9130658209324,3.628148556582018e-05,-337.93454965204,0.0001025807863741339,-402.74851616472006,0.00020910260739030045
8:29:54,144.055,-78.29229214787483,5.51313256351041e-05,-121.2261258661747,0.00017414780080831412,-236.00306582078338,3.939448556582008e-05,-332.4845496490598,0.00010200778637413366,-403.21851617097855,0.0002006166073903002
8:29:56,145.352,-77.32229214720428,5.481932563510417e-05,-119.90612586587667,0.00017134780080831427,-233.25306582078338,4.234148556582062e-05,-329.43454965204,0.00010286778637413375,-403.0985161662102,0.0001945226073903003
8:29:57,146.805,-76.0622921474278,5.447732563510421e-05,-118.74612586572766,0.00016890780080831488,-229.70306582003832,4.507448556582017e-05,-324.7145496532321,9.595378637413353e-05,-395.58851616829634,0.00019124260739029984
8:29:58,148.049,-74.79229214787483,5.4222325635104205e-05,-116.81612586602569,0.00016679380080831478,-224.89306581765413,4.908148556582049e-05,-319.6545496508479,9.752078637413359e-05,-390.40851616859436,0.00018532960739030008
8:30:00,149.304,-73.79229214787483,5.392132563510413e-05,-114.70612586662173,0.0001650408008083146,-221.50306582078338,5.1188485565819945e-05,-320.4945496544242,9.160078637413319e-05,-388.17851616442204,0.00017766260739029982
8:30:01,150.552,-72.40229214727879,5.3455325635104163e-05,-112.95612586662173,0.00016368780080831466,-215.34306582063437,5.6254485565820564e-05,-317.93454965204,8.444778637413386e-05,-386.86851616948843,0.00016868260739030024
8:30:02,151.801,-71.18229214753956,5.315132563510415e-05,-110.88612586632371,0.00016147380080831428,-211.40306581929326,5.7501485565819924e-05,-313.29454965144396,8.320078637413363e-05,-384.40851616859436,0.00016026260739029994
8:30:03,153.056,-70.22229214757681,5.2809325635104183e-05,-107.43612586706877,0.00016282080080831478,-208.6030658185482,5.902148556582044e-05,-311.3445496484637,7.98807863741334e-05,-380.3185161650181,0.00015737660739030025
8:30:05,154.296,-68.96229214780033,5.237232563510413e-05,-105.04612586647272,0.00016175380080831435,-205.39306581765413,5.8854485565820736e-05,-306.4845496490598,8.024078637413386e-05,-375.3285161703825,0.0001495296073903002
8:30:06,155.551,-67.71229214780033,5.200232563510416e-05,-102.57612586580217,0.0001604008008083144,-202.25306582078338,5.9108485565820615e-05,-299.0245496556163,7.998078637413367e-05,-369.67851616442204,0.00014960260739029993
